,Stressed Onsets
t,17
l,16
b,13
d,13
p,11
ɾ,10
k,9
ʧ,9
s,8
m,8
r,7
ɡ,7
f,6
ʝ,4
bɾ,4
n,4
pj,4
fɾ,4
x,4
mj,3
fj,3
kw,3
fw,3
fl,3
tɾ,3
tj,3
rj,3
mw,3
kɾ,3
w,3
nw,3
pw,3
dj,3
sw,3
kl,3
tw,3
dw,3
kj,3
ɡɾ,3
bl,2
ɡl,2
pl,2
bw,2
bj,2
lj,2
sj,1
ɡw,1
j,1
nj,1
ʝw,1
dɾ,1
pɾ,1
